ica_best_comp,ica_qrs,ica_mean_fhr,ica_rel,ica_mae,ica_rmse,ica_rel_dist,record,reliability,mean_bpm_f,mean_real_bpm_f,isSuccess,sir_gain_dB,fSNR_dB,SIR,SNR,SE,PPV,F1,TP,FP,FN,ACC
0.0,81.0,165.48202353235155,0.4375,121.54938271604938,140.83381547145171,0.12345679012345678,a13.csv,0.8230088495575221,120.3901524147398,125.78616352201259,True,10.62917634442751,7.606361823275614,-4.415088943760366,-10.019005131707578,0.8413,0.9298,0.8833,106,8,20,0.791
0.0,89.0,185.21337916017822,0.5113636363636364,109.97752808988764,128.4489580785328,0.1348314606741573,a14.csv,0.792,132.21730904427767,125.0,True,9.586967904682375,6.427828353476377,-2.1503441988274723,-4.285699471942017,0.9268,0.9048,0.9157,114,12,9,0.8444
1.0,74.0,147.99141715690322,0.6849315068493151,95.16216216216216,113.14846143153837,0.16216216216216217,a15.csv,0.5,147.90398473489458,132.4503311258278,False,3.9321353668682706,9.740947947426896,-5.371266755103997,0.7039679049884249,0.7239,0.776,0.749,97,28,37,0.5988
0.0,91.0,181.9428004143471,0.6888888888888889,119.39010989010988,136.88198775378947,0.0989010989010989,a16.csv,0.4591836734693877,128.96997279750755,130.1518438177874,False,7.894220488339105,8.78814313723902,-9.570386152320934,-14.71016881063974,0.1769,0.2323,0.2009,23,76,107,0.1117
1.0,87.0,176.12908132490475,0.5581395348837209,118.60919540229885,135.39681994262168,0.14942528735632185,a17.csv,0.9253731343283582,138.21767201986586,132.15859030837004,True,6.955635334097207,5.791698339050535,0.6952766628406262,-0.8394706364464062,1.0,0.9778,0.9888,132,3,0,0.9778
3.0,87.0,181.09862421614008,0.15116279069767447,101.5,113.94746974842822,0.12643678160919541,a18.csv,0.5294117647058824,121.5566163772235,150.37593984962405,False,8.927007156708951,11.264959763199125,,,0.1467,0.2136,0.1739,22,81,128,0.0952
1.0,72.0,144.78443385164255,0.8450704225352113,115.97916666666667,134.29449138615726,0.125,a19.csv,0.8,131.50839730887486,127.25358954982188,True,10.327698875419632,5.696069831457406,-3.599930666238528,-8.24536418062784,0.8819,0.9256,0.9032,112,9,15,0.8235
0.0,85.0,170.64844595684858,0.6428571428571428,119.34117647058824,137.5509958909358,0.10588235294117647,a20.csv,0.7622950819672132,137.8846377238586,130.86166053029655,True,10.370333944566163,6.697561921808719,-3.4785909669020145,-9.620857736202204,0.8473,0.9024,0.874,111,12,20,0.7762
0.0,90.0,180.87189276528053,0.651685393258427,108.56111111111112,125.04857944903742,0.1111111111111111,a21.csv,0.29807692307692313,136.18904265780017,144.23076923076923,False,11.048179149270387,7.929159560355252,-7.907986896220589,-16.796569652200578,0.3379,0.4667,0.392,49,56,96,0.2438
1.0,80.0,161.0592011330936,0.6075949367088608,119.19375,139.2069165846295,0.175,a22.csv,0.952755905511811,129.94402057809003,125.52301255230127,True,8.169223894427804,6.7765950282133725,1.418906758377841,-1.2295762531927599,1.0,0.9844,0.9921,126,2,0,0.9844
0.0,77.0,155.09967791468165,0.7631578947368421,119.45454545454545,138.03495698789257,0.12987012987012986,a23.csv,0.8067226890756303,129.68061157948256,126.84989429175477,True,9.733689587241933,6.182355288783937,-3.9509833665449574,-8.510484105487139,0.873,0.9167,0.8943,110,10,16,0.8088
1.0,79.0,163.87910607712408,0.39743589743589747,125.86708860759494,144.33756364329076,0.10126582278481013,a24.csv,0.7931034482758621,126.7796320474549,123.71134020618557,True,10.432076465488047,8.30465330930376,-2.459583181187068,-9.045306655593599,0.878,0.9231,0.9,108,9,15,0.8182
1.0,78.0,157.57457779274455,0.6493506493506493,116.85897435897436,134.0954740244657,0.08974358974358974,a25.csv,0.7207207207207207,126.34078691677975,124.87006237006237,True,10.023499459149205,6.909465256342287,-2.4128360943415212,-7.293487790229107,0.8,0.8929,0.8439,100,12,25,0.7299
